Words (split by space),anger,disgust,fear,joy,sad,surprise
u n force is treading lightly on lebanese soil,0,0,0.3636,0.2727,0.3636,0
breakup rings find new homes,0.0,0.0,0.0333,0.2833,0.5167,0.1667
on the job naps might cut heart risk,0.0,0.0,0.0449,0.4831,0.0,0.4719
porn star candidate campaigns on campus,0.2095,0.2432,0,0.1892,0.223,0.1351
mother lohan is doing great in rehab,0.0211,0.0,0.1053,0.4947,0.1789,0.2
police break up kosovo protests,0.3936,0.0,0.1064,0.2128,0.1809,0.1064
what newsom faces in aftermath of scandal,0.1818,0.2364,0.3636,0.0,0.1818,0.0364
apple revs up mac attacks on vista,0.061,0.3171,0.061,0.1463,0.1341,0.2805
dance movie takes over no,0.0,0.0,0.0,0.6022,0.0,0.3978
carphone warehouse s mixed signals,0.1429,0.1429,0.0,0.0,0.0,0.7143
beating poverty in a small way,0,0,0.1176,0.4706,0.4118,0
uk luxury maker burberry made in china,0.0,0.0294,0.0,0.0,0.0882,0.8824
second drop in cancer deaths could point to a trend researchers say,0.0,0.0,0.1059,0.4118,0.0588,0.4235
moderate drinking reduces men s heart attack risk,0,0.0374,0.243,0.486,0.0841,0.1495
study on the job naps might help heart,0.0,0.0,0.0233,0.5116,0.0,0.4651
weekly nielsen yvonne de carlo munsters star dead,0.0796,0.0,0.1416,0.0,0.6549,0.1239
france ends toxic alert at canadian embassy in paris,0.0,0.0,0.4337,0.4217,0.0,0.1446
some cocoa may improve brain blood flow,0.0,0.0,0.0,0.6339,0.0,0.3661
reid land deal under scrutiny,0.2,0,0,0,0.3,0.5
nasdaq fails in bid for lse,0.0,0.0175,0.0526,0.0,0.7193,0.2105
school ends football season after start,0,0,0,0,0.5,0.5
amateur rocket scientists reach for space,0,0,0,0.5714,0,0.4286
internet boom in china is built on virtual fun,0.0,0.0,0.0404,0.6364,0.0,0.3232
personal health the importance of knowing what the doctor is talking about,0.0,0.0,0.4828,0.0,0.3103,0.2069
what s behind the chopper crashes in iraq,0.0849,0.0,0.4811,0.0,0.3585,0.0755
victim gunman bought drink after shooting,0.1233,0.1781,0.1781,0.0,0.2055,0.3151
reclusive mockingbird author attends show,0.0,0.0,0.0,0.75,0.0,0.25
goodbye to girlhood,0.0,0.0,0.2,0.0,0.6,0.2
poison pill to swallow hawks hurting after loss to vikes,0,0.1404,0.4035,0,0.4561,0
north korea gets money and respect,0.0244,0.0,0.0488,0.5854,0.0488,0.2927
life on mars maybe we missed it,0,0.0444,0,0.2444,0.0667,0.6444
finally senate okays anti terror bill manila,0.0385,0.0,0.2179,0.5385,0.1538,0.0513
griffiths scorns withnail play,0.2222,0.6481,0,0.0741,0.0556,0
die in hour kashmir standoff,0.2451,0.1863,0.3039,0,0.2647,0
bernhard set to leave volkswagen,0.1507,0.0,0.0,0.0,0.5479,0.3014
victims of air india still wait for justice,0.3224,0.1118,0.0987,0.0,0.3553,0.1118
united hang on to six point lead,0.0,0.0,0.05,0.725,0.05,0.175
deputy health minister arrested in us iraqi raid,0.1356,0.0678,0.1441,0.0,0.4915,0.161
mardi gras rebound in the offing for new orleans,0.0244,0.0,0.0366,0.5732,0.0366,0.3293
free will now you have it now you don t,0.0656,0.0,0.2295,0.0,0.2623,0.4426
commentary minutemen have a right to be idiotic,0.7778,0,0,0.2222,0,0
army engineers say dam safe,0.0,0.0,0.169,0.6056,0.0,0.2254
global national major child porn ring bust,0.219,0.3048,0.0,0.2,0.1476,0.1286
siestas may cut heart disease risk,0.0,0.0,0.0444,0.6,0.0222,0.3333
u s keeps iran options open,0.1392,0.1013,0.2405,0.3544,0.0506,0.1139
press sees hope in mecca talks,0.0,0.0,0.0,0.7595,0.038,0.2025
a star dies a family feud is born,0.0916,0.1527,0.1145,0.1374,0.4733,0.0305
looking beyond the iphone,0.0,0.0,0.1379,0.3793,0.0,0.4828
two men killed by london tube train,0.0397,0.0331,0.2715,0.0,0.5232,0.1325
who s going to win at the grammys,0.0,0.0,0.0192,0.5962,0.0,0.3846
indonesian bird flu deaths hit,0.0,0.0,0.3625,0.0,0.5375,0.1
china s nightmare scenario,0.0,0.0,0.8025,0.0,0.0,0.1975
durant s success trumps the gators,0.0,0.0,0.0,0.8431,0.0,0.1569
greek police hunt embassy attackers,0.5393,0.0225,0.2472,0.0449,0.1461,0.0
sri lanka clashes kill troops,0.1721,0,0.2131,0,0.6148,0
wizardry at harvard physicists move light,0.0,0.0,0.0206,0.3196,0.0,0.6598
tests of drug to block h i v infection are halted over safety,0.0797,0.0145,0.3478,0.0507,0.2826,0.2246
singer on cowell glad he was mean,0.0,0.1176,0.0,0.5882,0.0588,0.2353
stinky but true men s sweat is made for love,0.0,0.1818,0.0202,0.2222,0.0,0.5758
one search does not fit all,0.0,0.1364,0.0,0.0,0.4091,0.4545
two detained in body parts mailing,0.0328,0.5,0.2459,0.0656,0.1148,0.041
slain amish girls laid to rest,0.1571,0.05,0.25,0,0.5429,0
israel admits using phosphorous shells in lebanon,0.2967,0.2582,0.033,0,0.3242,0.0879
memo from frankfurt germany relives s terror as seek release from jail,0.2134,0.0915,0.4634,0.0,0.2012,0.0305
lost s fox i m a liar and a cheat,0.1653,0.3884,0.1157,0.0,0.1488,0.1818
win a concert date with the police,0.0,0.0,0.1639,0.541,0.0984,0.1967
israeli bomblets plague lebanon,0.2596,0.2308,0.3221,0,0.1875,0
ballerina sparks anti fascist row,0.2446,0.1223,0.223,0.1223,0.1151,0.1727
small business owners find bush health plan appealing,0.0,0.0,0.0,0.8056,0.0,0.1944
black hole triplets spotted,0.0,0.0,0.1571,0.2429,0.0,0.6
blair says he regrets delays in british soldier s inquest,0.0455,0.0758,0.0152,0.1515,0.7121,0.0
stanford study warns of internet addiction,0,0.2708,0.4792,0,0.1875,0.0625
trains crash near thai resort town,0.0122,0.0,0.378,0.0,0.5488,0.061
us north korea signed nuclear memo,0.0,0.0,0.3333,0.5,0.0,0.1667
jakarta begins disinfection,0.0,0.0,0.2278,0.557,0.0759,0.1392
gps sneakers locate with press of a button,0.0,0.0175,0.0,0.386,0.0,0.5965
vietnamese bank plans ipo listing,0.0,0.0,0.0,0.7931,0.0,0.2069
cases when the simple solution is the right one,0.0,0.0,0.0,0.5556,0.0,0.4444
outdated baby food found on shelves,0.0789,0.3246,0.1228,0.0,0.2895,0.1842
kerry blasts escalation of misguided war,0.2933,0.1133,0.1933,0.1067,0.1867,0.1067
iraqis fault delayed u s plan in attack,0.272,0.152,0.232,0.016,0.136,0.192
stomp steps to no at box office,0.0,0.0,0.0,0.7595,0.0,0.2405
woman dies after water binge,0.0559,0.0186,0.1304,0.0,0.5714,0.2236
shareholders sue apple,0.4706,0.0882,0.0,0.0,0.2941,0.1471
trucks swallowed in subway collapse,0.08,0.0,0.28,0.0,0.57,0.07
two palestinians killed near fence,0.129,0.0452,0.2452,0.0,0.5613,0.0194
warioware wii make perfect fit,0.0,0.0,0.0,0.6923,0.0,0.3077
uk soldiers cleared of iraq abuse,0.0294,0.1471,0.0882,0.4853,0.0735,0.1765
eu condemns illegal cia flights,0.3462,0.1,0.1154,0.2077,0.1923,0.0385
call it serendipity a missing piece of washington s war tent is found,0.0204,0.0,0.0306,0.5306,0.0408,0.3776
mistrial declared in teacher student rape case,0.1943,0.2629,0.0857,0.0,0.2686,0.1886
bombers kill shoppers,0.2316,0.1368,0.3298,0,0.3018,0
bruce revells in upset,0.3889,0.0,0.0,0.0,0.3889,0.2222
excerpt politicians and the press,0.0,0.7857,0.2143,0.0,0.0,0.0
princess masako author no regrets,0.0,0.0,0.0,0.4167,0.125,0.4583
full details of the eu report on iran,0.1017,0.0,0.2373,0.2034,0.1864,0.2712
roddick murray score in san jose,0.0,0.0,0.0,0.7941,0.0,0.2059
china urges un action on n korea,0.3611,0.0417,0.4306,0.0,0.0,0.1667
u s warns north koreans about nuclear test,0.211,0,0.4312,0,0.3578,0
top general optimistic on iraq,0.2171,0.2326,0,0.2093,0.3411,0
three found alive from missing russian ship report,0,0,0.1489,0.4468,0.0691,0.3351
marine killed in fighting west of baghdad,0.2034,0,0.3729,0,0.4237,0
poetry prize awarded,0,0,0,0.8866,0,0.1134
housewives star marcia cross on bed rest,0.0,0.0,0.0889,0.0,0.5556,0.3556
mexican navy helps in hunt for u s engineer,0.0,0.0,0.125,0.5,0.1389,0.2361
pot smokers may avoid alzheimer s study says,0,0,0.05,0.125,0,0.825
turkish writers say efforts to stifle speech may backfire,0.3311,0.0743,0.3041,0.0541,0.2365,0
maggie gyllenhaal s globes babysitter mom,0.0,0.0,0.0,0.8919,0.0,0.1081
higley gonzalez lead in malaysia,0.0508,0.0678,0.0847,0.4237,0.1695,0.2034
the nfl s biggest potential free agents,0.0,0.0,0.0,0.7568,0.0,0.2432
asif returns with four wicket haul,0.0,0.0,0.0,0.7818,0.0,0.2182
sea search for missing microsoft scientist,0.0,0.0,0.3118,0.0,0.5161,0.172
iran vs north korea not all enemies are equal,0.3662,0.1268,0.338,0.0,0.169,0.0
variety johnny depp to make movie of spy poisoning,0.0,0.0435,0.1739,0.2826,0.087,0.413
new orleans violence sparks tourism fears,0.1667,0.0,0.5435,0.0,0.2319,0.058
u s opens door for iraqi refugees,0.0185,0.0,0.1759,0.4259,0.0926,0.287
kidnapped at nigeria oil base,0.1275,0.047,0.4631,0.0,0.3087,0.0537
study links chimps and hammers,0.0,0.0,0.0,0.2456,0.0,0.7544
las vegas honour for tiger pair,0,0,0,0.6814,0,0.3186
lee in pre world cup injury scare,0.0,0.0,0.55,0.0,0.35,0.1
on road to kosovo independence a warning go slow,0.1698,0.0,0.6038,0.0377,0.1698,0.0189
g to china ease exchange rate grip,0.0889,0.0667,0.2222,0.0,0.2889,0.3333
budapest calm after night of violent protests,0.382,0.0225,0.2022,0.2022,0.191,0
naps are great for chaps,0.0,0.0,0.0,0.6593,0.0,0.3407
india decries an act of sabotage,0.2537,0.0896,0.2985,0.0,0.209,0.1493
hurricane paul nears category status,0,0,0.701,0,0.2371,0.0619
ferrer victorious in spanish duel,0.0198,0.0,0.1485,0.6931,0.0099,0.1287
prehistoric romeo and juliet discovered,0.0,0.0,0.0476,0.5048,0.0286,0.419
kurdish lawmaker killed in an attack in baghdad,0.2281,0.1842,0.3289,0,0.2588,0
th century remedy st century potency,0.0,0.0,0.0,0.0,0.0,1.0
too young for this facing cancer under,0.1188,0.0,0.2438,0.0,0.5,0.1375
basics a mammal in winter with a furnace of her own,0.0,0.0,0.0,0.3571,0.0,0.6429
ice stops trolleys cold,0.0,0.0,0.2368,0.0,0.7632,0.0
china s friends highlights web freedoms,0.046,0.0575,0.069,0.5517,0.092,0.1839
that ll cost ya,0.6538,0.0,0.3077,0.0,0.0,0.0385
auto show canceled,0.0,0.0,0.0,0.037,0.6481,0.3148
was prince s super show too revealing,0.0,0.1228,0.193,0.1228,0.0702,0.4912
a mix of oil and environmentalism,0.2339,0.2339,0.2661,0,0.2661,0
serbia rejects united nation s kosovo plan,0.3182,0.1136,0.1364,0.0,0.2614,0.1705
prehistoric romeo and juliet discovered,0.0323,0.0,0.0,0.4,0.1032,0.4645
cher items snapped up at auction,0,0,0,0.9,0,0.1
no florida survives rupp arena streak hits,0.0,0.0,0.0,0.8667,0.0,0.1333
collision on icy road kills,0.0292,0.0,0.3431,0.0,0.6204,0.0073
social networking goes mobile,0.0,0.0,0.0,0.6923,0.0,0.3077
an elephant crackup,0.1964,0,0,0.25,0.5536,0
firefox hits the web,0.0,0.0,0.0,0.7606,0.0,0.2394
bananaconda inventor is top poet of kids,0.0,0.0,0.0,0.7241,0.0,0.2759
fitness bodies in motion clean and sober,0,0,0,1,0,0
iran leader pays nicaragua a visit,0.039,0.013,0.1688,0.2597,0.1818,0.3377
mega marsupials once roamed australia,0.0,0.0,0.0308,0.1077,0.0615,0.8
report criticises us press freedoms,0.2451,0.2353,0.0588,0.2059,0.1275,0.1275
democrats look beyond symbolic vote on iraq,0.0909,0.1212,0.0909,0.4242,0.0455,0.2273
create own thrillville for a wild ride,0.0,0.0,0.0962,0.6346,0.0,0.2692
new indonesia calamity a mud bath is man made,0.326,0.2265,0.0331,0,0.3425,0.0718
machinery orders drive asia upward,0.0,0.0,0.0,0.7761,0.0,0.2239
the sweet tune of an anniversary,0,0,0,1,0,0
china successfully launches two satellites,0,0,0,1,0,0
rio de janeiro journal drawing lines across the sand between classes,0.25,0.2188,0.0313,0.0313,0.4063,0.0625
golden globes on their way,0.0,0.0,0.0,1.0,0.0,0.0
snow causes airport closures in britain,0.1034,0.0,0.2931,0.0,0.3793,0.2241
un google earth map climate change,0.084,0.0504,0.1176,0.3445,0.1429,0.2605
davydenko out as seeds scattered,0.0,0.0,0.0444,0.1778,0.3556,0.4222
britons deported from somalia held under terrorism act,0.1652,0.1304,0.3652,0.0,0.2174,0.1217
next island hot spot st lucia,0.0,0.0,0.0,0.7656,0.0,0.2344
blazing angels for ps fails to soar,0.0,0.0,0.1714,0.0571,0.6,0.1714
al qaeda group calls for attacks on u s oil,0.2849,0.0581,0.4535,0.0,0.0872,0.1163
terai protesters hail historic victory over government,0.3011,0.0,0.0323,0.3871,0.0,0.2796
carter was a disaster said ford,0.3333,0.2083,0.0,0.0,0.3,0.1583
ex pastor gets death sentence,0.0357,0.0429,0.0857,0.0,0.5214,0.3143
male sweat boosts women s hormone levels,0.0,0.1341,0.0,0.2073,0.0,0.6585
dow flirts with record highs again,0,0,0,0.5678,0,0.4322
study male sweat causes female hormones to rise,0.0,0.1264,0.0,0.1954,0.0,0.6782
police and shoppers targeted in growing iraq violence,0.2133,0.1801,0.3555,0,0.2512,0
news analysis iranian boast is put to test,0.2982,0.1228,0.4912,0.0351,0.0175,0.0351
european shares hit fresh highs,0.0,0.0,0.0633,0.7468,0.0,0.1899
active peace brings the promise of development,0,0,0,1,0,0
stars scuffle on grey s anatomy,0.4839,0.5161,0,0,0,0
myspace sales surging,0.0,0.0,0.0244,0.7195,0.0244,0.2317
bernanke economy healthy but,0.0,0.0,0.3556,0.1778,0.2,0.2667
politics us reprieve for officer who denounced immoral war,0.1081,0.1261,0.1171,0.2793,0.2523,0.1171
health returns as hot issue in race,0.0,0.0299,0.1194,0.5821,0.0448,0.2239
nap your way to a successful career,0.0,0.0,0.0,0.5606,0.0,0.4394
as inflation soars zimbabwe economy plunges,0.0941,0.0824,0.1412,0.0,0.6824,0.0
snowed in the canadian rockies,0.0,0.0,0.1739,0.4565,0.2391,0.1304
carrefour sales growth falls short,0.0,0.0,0.1628,0.0,0.6047,0.2326
bucs find a new kick in life,0,0,0,0.5405,0,0.4595
slow music and lyrics,0.0,0.0,0.0,0.7692,0.0,0.2308
harris haul puts south africa on top,0.0,0.0,0.0,0.8592,0.0,0.1408
john grisham set for court drama,0.1795,0.0641,0.2692,0.0,0.2308,0.2564
thomas cook to merge with mytravel,0.0,0.0,0.0,0.5918,0.0,0.4082
bad weather slows s korean search for russian ship,0.0909,0.2424,0.0303,0,0.6364,0
gray wolves off endangered list,0.0,0.0,0.1978,0.6044,0.0659,0.1319
senator says u s should rethink iraq strategy,0,0,0,0.3125,0.3438,0.3438
radical cleric al sadr in iran u s insists,0.1359,0.1165,0.3398,0.0,0.1748,0.233
guinea capital largely calm under curfew marital law,0.0,0.0,0.4444,0.2333,0.1,0.2222
tracking down hi tech crime,0.0204,0.1224,0.2653,0.3878,0.1327,0.0714
blissing out in ojai,0.0,0.0,0.0,1.0,0.0,0.0
visitors to eiffel tower climb to record in,0.0,0.0,0.0,0.5181,0.0,0.4819
ice storm cripples central u s,0.1756,0.0305,0.3511,0.0,0.3359,0.1069
scorpion on a plane a pantful of pain,0.0714,0.0238,0.5833,0.0,0.1548,0.1667
nokia xpress music,0.0,0.0,0.0,0.8148,0.0,0.1852
israeli lebanese clash on border,0.2992,0.0787,0.3858,0.0,0.2047,0.0315
closings and cancellations top advice on flu outbreak,0.0196,0.0,0.451,0.1569,0.2157,0.1569
u s commander iraq not hopeless,0.0737,0.1053,0.1263,0.3579,0.1263,0.2105
bad weather cancels men s downhill,0.0,0.0,0.0714,0.0286,0.7286,0.1714
nipple covers other star secrets,0.1186,0.4915,0.0,0.0339,0.0,0.3559
toddler died from e coli tainted spinach,0.1761,0.1831,0.0563,0,0.5845,0
bosses sleeping on idea of letting workers take naps,0.0,0.0,0.0417,0.2778,0.1389,0.5417
trying to assess the damage in cleveland,0.0,0.0,0.1304,0.0,0.8261,0.0435
deaths linked to flu vaccine,0.2222,0,0.3137,0,0.4641,0
mbeki on the big visit from the chinese,0.0,0.0,0.075,0.45,0.0,0.475
portugal to vote on abortion laws,0.026,0.1039,0.1299,0.2597,0.1688,0.3117
pit bulls jump miniature pony leave her bloody,0.04,0.33,0.26,0,0.37,0
inconvenient truths,0.3871,0.0968,0.1613,0,0.2581,0.0968
judge preserve anna nicole s body,0.0,0.1311,0.0,0.0,0.4426,0.4262
best of the chicago auto show,0.0,0.0,0.0,0.7843,0.0,0.2157
schuey sees ferrari unveil new car,0.0,0.0,0.0,0.5974,0.0,0.4026
napping may be good for your heart,0.0,0.0,0.0,0.593,0.0,0.407
charles gibson takes over first place,0.0,0.0,0.0,0.7288,0.0,0.2712
brown not buried as estate issues loom,0.069,0.1954,0.0,0.0,0.4713,0.2644
kim osorio wins sexual harrassment suit against the source,0.1455,0.1455,0,0.6545,0.0545,0
paris police investigate package at canadian embassy,0.0811,0.0541,0.5,0.1081,0.1622,0.0946
militants attack u s base in iraq,0.2342,0.057,0.5316,0.0,0.1646,0.0127
hamas fatah return to unity gov t talks in mecca,0.027,0.0,0.0541,0.5,0.0811,0.3378
heavy snow causes travel chaos and shuts schools,0.0348,0.0,0.3826,0.0783,0.3391,0.1652
pacers jackson misses gun hearing,0.1892,0.1351,0.3243,0.027,0.0405,0.2838
de villiers takes over dakar lead,0.0189,0.0,0.0,0.7925,0.0,0.1887
sleuths close in on odysseus home,0.0,0.0,0.0556,0.4259,0.037,0.4815
breast cancer awareness is important,0,0,0.7209,0,0.2791,0
google to launch yet another search tool,0,0,0,0.7778,0,0.2222
study finds gritty air raises heart disease risk in older women,0.0,0.0,0.3297,0.033,0.2527,0.3846
protesters end strike as nepal pm concedes demands,0.2424,0.0,0.0303,0.4848,0.0606,0.1818
u s weighs sanctions against north korea,0.3813,0.2,0.1438,0,0.275,0
we were arrogant and stupid over iraq says us diplomat,0.1707,0.122,0.1016,0.0935,0.3293,0.1829
real mallorca rock leaders sevilla,0.0,0.0,0.0,1.0,0.0,0.0
discovered boys bring shock joy,0.0,0.0,0.0263,0.4825,0.0,0.4912
bush declares iran s arms role in iraq is certain,0.1983,0.0248,0.438,0.0,0.2231,0.1157
doctors seeing patients who think they re internet addicted,0,0,0,0.2432,0.4324,0.3243
jackass star marries childhood friend the secrets people reveal,0.0,0.0,0.0,0.642,0.0,0.358
the science of love and lust,0.0,0.0303,0.0303,0.697,0.0,0.2424
depp to star in spy poisoning film,0.0,0.0,0.1351,0.473,0.1351,0.2568
fortune looking beyond the iphone,0.0,0.0,0.0,0.6,0.0,0.4
frustration rises as north korea nuclear talks stall,0.2857,0.0804,0.3571,0.0179,0.2411,0.0179
uganda parliament votes to send troops to somalia,0.0808,0.0101,0.3939,0.1616,0.2222,0.1313
man rides stationary bike for hours,0.0,0.0,0.0,0.1714,0.0,0.8286
tourist spot resists gravity but not progress,0.0,0.0,0.125,0.25,0.5313,0.0938
asia near pact on energy security,0.0,0.0,0.0652,0.7826,0.0,0.1522
pakistan india peace talks planned despite bombings,0.0308,0.0308,0.1846,0.4462,0.1385,0.1692
australian pm stands by obama attack,0.0196,0.1569,0.0784,0.3137,0.1373,0.2941
planned cesareans not risk free group warns,0.0,0.0,0.7011,0.0,0.1724,0.1264
two koreas to resume talks,0.0147,0.0,0.0735,0.6912,0.0588,0.1618
books on science the problems in modeling nature with its unruly natural tendencies,0.0,0.0,0.2593,0.0,0.2963,0.4444
a mistrial for lieut watada,0.3333,0.3333,0.0,0.0,0.0,0.3333
porn ring scandal reaches australia,0.2629,0.3429,0.0343,0.0,0.2457,0.1143
madonna s new tot happy at home in london,0,0,0,1,0,0
lawmakers blast fda drug safety oversight,0.2844,0.0826,0.1376,0.1284,0.2385,0.1284
bill thanks for the rsa memories and laughs,0.0,0.0,0.0,0.8462,0.0769,0.0769
japanese whaling ship won t accept help,0.1034,0.3103,0.1207,0.0,0.2069,0.2586
french suburb riots could resume,0.0769,0,0.641,0,0.2821,0
